#MATRIX_SIZE : 2048
#START : dimanche 13 mai 2012, 17:03:09 (UTC+0200)
#num_iteration	ydim_gpu	speedup
set zlabel "accélération"
27	64	5.4737414
27	128	5.2703936
27	192	5.80384
27	256	6.0884724
27	320	6.1932546
27	384	6.6754546
27	448	7.098865
27	512	7.5104178
27	576	7.8347676
27	640	8.1511528
27	704	8.6593604
27	768	7.528992
27	832	6.8184552
27	896	6.659066
27	960	7.4368318
27	1024	6.8729204
27	1088	6.710531
27	1152	6.183872
27	1216	5.6992512
27	1280	5.6160526
27	1344	5.5385404
27	1408	4.4262102
27	1472	5.0673292
27	1536	4.7261698
27	1600	4.694541
27	1664	4.5186234
27	1728	4.2342076
27	1792	3.506859
27	1856	3.304989
27	1920	3.8425598
27	1984	3.823916
27	2048	3.775675
28	0	4.960402
28	64	4.0457222
28	128	5.1491834
28	192	5.1787168
28	256	5.599259
28	320	5.9276182
28	384	6.1503968
28	448	6.7918508
28	512	7.1042296
28	576	7.1342116
28	640	7.741714
28	704	8.4221714
28	768	7.8107438
28	832	7.352185
28	896	6.9922686
28	960	6.8150616
28	1024	6.4008748
28	1088	5.4896794
28	1152	5.7836482
28	1216	5.543064
28	1280	5.2947436
28	1344	5.109979
28	1408	4.7623002
28	1472	4.684222
28	1536	4.4643696
28	1600	4.2238076
28	1664	4.2240818
28	1728	3.8886812
28	1792	3.8704774
28	1856	3.7391768
28	1920	3.5941216
28	1984	3.39376
28	2048	3.4351122
29	0	4.3688656
29	64	4.987514
29	128	4.5444836
29	192	5.4875198
29	256	6.178234
29	320	6.2676318
29	384	7.0214888
29	448	6.4951744
29	512	7.3380502
29	576	7.8609926
29	640	7.8434548
29	704	8.3294958
29	768	8.3579156
29	832	6.6322756
29	896	7.390988
29	960	7.4108076
29	1024	5.705409
29	1088	6.6616582
29	1152	6.3059184
29	1216	4.7690468
29	1280	5.2388238
29	1344	5.478935
29	1408	5.2393604
29	1472	4.269496
29	1536	4.826525
29	1600	4.3794316
29	1664	3.7262504
29	1728	3.9605606
29	1792	3.9433226
29	1856	4.0570898
29	1920	3.8949238
29	1984	3.7818258
29	2048	3.7250242
30	0	4.8620188
30	64	4.8332936
30	128	5.1166908
30	192	3.5336488
30	256	5.8049988
30	320	6.1904108
30	384	6.450805
30	448	6.7628994
30	512	7.0283122
30	576	7.2705516
30	640	7.8365562
30	704	7.9964806
30	768	7.69818
30	832	6.2725976
30	896	7.1708634
30	960	6.8085504
30	1024	6.4614358
30	1088	4.8706352
30	1152	4.6563526
30	1216	5.5206184
30	1280	5.3405224
30	1344	5.0514488
30	1408	4.8944862
30	1472	4.5803
30	1536	4.4192754
30	1600	4.2384076
30	1664	3.4683538
30	1728	4.0889394
30	1792	3.8983884
30	1856	3.7756734
30	1920	3.662383
30	1984	3.4941894
30	2048	3.4269854
31	0	5.034947
31	64	4.6959606
31	128	5.1431898
31	192	5.7958456
31	256	5.9439524
31	320	6.4073736
31	384	6.7855736
31	448	7.2986502
31	512	7.3732894
31	576	7.8215374
31	640	8.2271982
31	704	8.555375
31	768	7.981013
31	832	7.7804102
31	896	7.3838814
31	960	7.14728
31	1024	6.4722198
31	1088	6.5974228
31	1152	6.0813808
31	1216	5.6229462
31	1280	5.6821704
31	1344	4.2830106
31	1408	4.3111018
31	1472	4.1101512
31	1536	3.883208
31	1600	3.7965906
31	1664	2.9922972
31	1728	4.2756022
31	1792	4.0300924
31	1856	3.7911242
31	1920	3.1263286
31	1984	3.745485
31	2048	3.6912372
32	0	4.117676
32	64	4.69563
32	128	4.95272
32	192	4.564094
32	256	5.698996
32	320	4.9578588
32	384	6.4139804
32	448	6.6392926
32	512	6.4538738
32	576	7.265781
32	640	8.0138146
32	704	6.6840306
32	768	7.9364166
32	832	7.4671064
32	896	7.0610736
32	960	6.6642084
32	1024	6.4204852
32	1088	5.7329318
32	1152	5.8709418
32	1216	5.5564392
32	1280	5.3917232
32	1344	4.9590864
32	1408	4.5580334
32	1472	4.59946
32	1536	4.478161
32	1600	4.2493836
32	1664	4.1157292
32	1728	4.0291298
32	1792	3.770145
32	1856	3.716119
32	1920	3.0233884
32	1984	3.4753292
32	2048	3.5112246
33	0	5.1353128
33	64	4.965384
33	128	5.1344602
33	192	5.7770288
33	256	6.2296512
33	320	6.4322496
33	384	6.6885892
33	448	7.063812
33	512	7.6265242
33	576	7.0256836
33	640	8.134761
33	704	8.4151162
33	768	8.414421
33	832	7.818357
33	896	7.6618914
33	960	7.0612564
33	1024	6.719174
33	1088	6.5020118
33	1152	5.8767324
33	1216	5.8887716
33	1280	5.6291312
33	1344	4.9856574
33	1408	5.1222304
33	1472	4.946834
33	1536	4.624972
33	1600	4.409564
